,bike_nr,birth_date,duration,end_date,end_station,gender,id,resource_uri,start_date,start_station,status,subscription_type,zip_code
527,B00073,,218,2011-08-31T17:21:00,/api/v1/station/55/,,42916,/api/v1/trip/42916/,2011-08-31T17:17:00,/api/v1/station/46/,Closed,Casual,
528,B00332,1985.0,548,2011-08-31T17:25:00,/api/v1/station/25/,Male,42915,/api/v1/trip/42915/,2011-08-31T17:16:00,/api/v1/station/42/,Closed,Registered,02118
529,B00554,1961.0,199,2011-08-31T17:19:00,/api/v1/station/22/,Male,42914,/api/v1/trip/42914/,2011-08-31T17:16:00,/api/v1/station/43/,Closed,Registered,02110
530,B00274,,744,2011-08-31T17:28:00,/api/v1/station/32/,,42913,/api/v1/trip/42913/,2011-08-31T17:16:00,/api/v1/station/13/,Closed,Casual,
531,? (0x67D8478F),1973.0,1903,2011-08-31T17:47:00,/api/v1/station/54/,Male,42912,/api/v1/trip/42912/,2011-08-31T17:15:00,/api/v1/station/15/,Closed,Registered,02130
532,B00102,1973.0,3,2011-08-31T17:15:00,/api/v1/station/43/,Male,42911,/api/v1/trip/42911/,2011-08-31T17:15:00,/api/v1/station/43/,Closed,Registered,02132
533,B00056,1983.0,1178,2011-08-31T17:34:00,/api/v1/station/52/,Female,42910,/api/v1/trip/42910/,2011-08-31T17:14:00,/api/v1/station/15/,Closed,Registered,02199
534,B00578,1984.0,624,2011-08-31T17:24:00,/api/v1/station/40/,Male,42909,/api/v1/trip/42909/,2011-08-31T17:14:00,/api/v1/station/42/,Closed,Registered,02109
535,B00335,1962.0,951,2011-08-31T17:28:00,/api/v1/station/6/,Male,42908,/api/v1/trip/42908/,2011-08-31T17:12:00,/api/v1/station/36/,Closed,Registered,01742
536,B00561,1960.0,447,2011-08-31T17:20:00,/api/v1/station/38/,Male,42907,/api/v1/trip/42907/,2011-08-31T17:12:00,/api/v1/station/43/,Closed,Registered,01944
537,B00533,,3509,2011-08-31T18:14:00,/api/v1/station/53/,,42906,/api/v1/trip/42906/,2011-08-31T17:16:00,/api/v1/station/38/,Closed,Casual,
538,B00118,,3614,2011-08-31T18:14:00,/api/v1/station/53/,,42904,/api/v1/trip/42904/,2011-08-31T17:14:00,/api/v1/station/38/,Closed,Casual,
539,B00140,1980.0,580,2011-08-31T17:21:00,/api/v1/station/38/,Male,42903,/api/v1/trip/42903/,2011-08-31T17:11:00,/api/v1/station/24/,Closed,Registered,03062
540,B00201,1981.0,299,2011-08-31T17:16:00,/api/v1/station/55/,Male,42902,/api/v1/trip/42902/,2011-08-31T17:11:00,/api/v1/station/46/,Closed,Registered,02115
541,B00156,1952.0,436,2011-08-31T17:18:00,/api/v1/station/46/,Female,42901,/api/v1/trip/42901/,2011-08-31T17:11:00,/api/v1/station/36/,Closed,Registered,02140
542,B00375,1986.0,668,2011-08-31T17:21:00,/api/v1/station/22/,Male,42900,/api/v1/trip/42900/,2011-08-31T17:10:00,/api/v1/station/20/,Closed,Registered,02139
543,B00576,1965.0,887,2011-08-31T17:24:00,/api/v1/station/38/,Male,42899,/api/v1/trip/42899/,2011-08-31T17:10:00,/api/v1/station/22/,Closed,Registered,01824
544,B00074,1974.0,429,2011-08-31T17:17:00,/api/v1/station/43/,Male,42898,/api/v1/trip/42898/,2011-08-31T17:09:00,/api/v1/station/42/,Closed,Registered,02043
545,B00063,1971.0,442,2011-08-31T17:17:00,/api/v1/station/43/,Male,42897,/api/v1/trip/42897/,2011-08-31T17:09:00,/api/v1/station/42/,Closed,Registered,02025
546,B00240,,2826,2011-08-31T17:57:00,/api/v1/station/45/,,42896,/api/v1/trip/42896/,2011-08-31T17:10:00,/api/v1/station/53/,Closed,Casual,
547,B00414,1977.0,1045,2011-08-31T17:26:00,/api/v1/station/25/,Female,42895,/api/v1/trip/42895/,2011-08-31T17:08:00,/api/v1/station/23/,Closed,Registered,02118
548,B00411,1982.0,1195,2011-08-31T17:28:00,/api/v1/station/46/,Male,42894,/api/v1/trip/42894/,2011-08-31T17:08:00,/api/v1/station/6/,Closed,Registered,02115
549,B00100,,547,2011-08-31T17:18:00,/api/v1/station/22/,,42892,/api/v1/trip/42892/,2011-08-31T17:09:00,/api/v1/station/49/,Closed,Casual,
550,B00559,,1032,2011-08-31T17:27:00,/api/v1/station/33/,,42893,/api/v1/trip/42893/,2011-08-31T17:10:00,/api/v1/station/44/,Closed,Casual,
551,B00215,1978.0,600,2011-08-31T17:18:00,/api/v1/station/38/,Male,42891,/api/v1/trip/42891/,2011-08-31T17:08:00,/api/v1/station/24/,Closed,Registered,02144
